package,relative_path,artifact_class,source_class,governance_disposition,size_bytes,size_mb,mtime_utc,sha256,duplicate_count_for_hash,duplicate_group_paths,archive_group,estimated_compression_ratio,estimated_compressed_size_mb,restore_source,approval_required,action_executed
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2024_1560_20240624F01.pdf,raw_source,diagnostic_only_evidence,raw_archive_compress_candidate,649983,0.62,2026-07-04T03:29:40+00:00,5b62a369c8ae29d3b5d25838c907ca3055fe3df95085c4db7920706cbdc82eb6,1,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2024_1560_20240624F01.pdf,dynamic_pool1_mops_document_extraction_v1_20260704__raw_source,0.92,0.57,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2024_1560_20240624F01.pdf,true,false
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2024_1560_20250619F04.pdf,raw_source,diagnostic_only_evidence,raw_archive_compress_candidate,4339712,4.139,2026-07-04T03:35:49+00:00,9b354594c5dd2239a0cbeccbbe1ffd993a37356c3abc32246827724d1cc83fbe,1,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2024_1560_20250619F04.pdf,dynamic_pool1_mops_document_extraction_v1_20260704__raw_source,0.92,3.808,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2024_1560_20250619F04.pdf,true,false
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2025_1560_20250619F01.pdf,raw_source,diagnostic_only_evidence,raw_archive_compress_candidate,973822,0.929,2026-07-04T03:29:40+00:00,12db9afba8d1903787b1f6eff943a5d253e3f7c0ca0789dbbca7d93737626479,1,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2025_1560_20250619F01.pdf,dynamic_pool1_mops_document_extraction_v1_20260704__raw_source,0.92,0.854,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2025_1560_20250619F01.pdf,true,false
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2024_2308_20240530F01.pdf,raw_source,diagnostic_only_evidence,raw_archive_compress_candidate,1006141,0.96,2026-07-04T03:29:42+00:00,f1876ca99d5254d6a25acbabd4437dbaf1f8a67f02095703c157abb27758a113,1,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2024_2308_20240530F01.pdf,dynamic_pool1_mops_document_extraction_v1_20260704__raw_source,0.92,0.883,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2024_2308_20240530F01.pdf,true,false
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2024_2308_20250529F04.pdf,raw_source,diagnostic_only_evidence,raw_archive_compress_candidate,4146810,3.955,2026-07-04T03:36:15+00:00,f3eb50fb371694f13c49cf3ac9a602e89c5f79da0ca2a8758035007a950affee,1,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2024_2308_20250529F04.pdf,dynamic_pool1_mops_document_extraction_v1_20260704__raw_source,0.92,3.638,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2024_2308_20250529F04.pdf,true,false
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2025_2308_20250529F01.pdf,raw_source,diagnostic_only_evidence,raw_archive_compress_candidate,1073054,1.023,2026-07-04T03:29:42+00:00,a39b3362111124270c646c8efb98c419cc71e527465fdcce62ac8ec63bc758eb,1,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2025_2308_20250529F01.pdf,dynamic_pool1_mops_document_extraction_v1_20260704__raw_source,0.92,0.941,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2025_2308_20250529F01.pdf,true,false
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2024_2356_20240612F01.pdf,raw_source,diagnostic_only_evidence,raw_archive_compress_candidate,1853544,1.768,2026-07-04T03:29:45+00:00,11233f1fb8b570c9cb31fe7fe8d78fbea3e96b7740846ab60afb05064675dc3a,1,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2024_2356_20240612F01.pdf,dynamic_pool1_mops_document_extraction_v1_20260704__raw_source,0.92,1.626,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2024_2356_20240612F01.pdf,true,false
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2024_2356_20250528F04.pdf,raw_source,diagnostic_only_evidence,raw_archive_compress_candidate,2559991,2.441,2026-07-04T03:36:35+00:00,006c847fc0b1f186ab655a5a1978f552ab4dbe6d278f39365bbd2ff5b19e8792,1,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2024_2356_20250528F04.pdf,dynamic_pool1_mops_document_extraction_v1_20260704__raw_source,0.92,2.246,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2024_2356_20250528F04.pdf,true,false
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2025_2356_20250528F01.pdf,raw_source,diagnostic_only_evidence,raw_archive_compress_candidate,1838036,1.753,2026-07-04T03:29:44+00:00,ab6db4f0fd8b760a13c84323ed5ade5db6582f64c8f5ecb64c8dc57d231a748a,1,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2025_2356_20250528F01.pdf,dynamic_pool1_mops_document_extraction_v1_20260704__raw_source,0.92,1.613,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2025_2356_20250528F01.pdf,true,false
radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2382_TW_2024_2382_20250613F04.pdf,raw_source,diagnostic_only_evidence,raw_archive_compress_candidate,3519654,3.357,2026-07-04T03:37:05+00:00,940ef56d7f23d6b43fd33dbe26e210ff07ef63ab738c0cf3f7446983906f88bb,1,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2382_TW_2024_2382_20250613F04.pdf,dynamic_pool1_mops_document_extraction_v1_20260704__raw_source,0.92,3.088,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2382_TW_2024_2382_20250613F04.pdf,true,false
