gap_type,symbol,ticker,name,field_group,missing_fields,required_source,current_status,partial_fallback,blocking,checked_at
institutional_flows_daily,0050,0050.TW,元大台灣50,institutional_flow,foreign/investment_trust/dealer daily net buy shares and TWD,TWSE/TPEX daily institutional trading by stock with date and source URL,not_ingested,No formal fallback; existing report foreign_5d/trust_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
margin_short_lending_daily,0050,0050.TW,元大台灣50,margin_short_lending,"margin, short, borrowed sell daily balances and changes",TWSE/TPEX margin/short/lending daily stock-level source with date and source URL,not_ingested,No formal fallback; existing margin_change_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
day_trading_daily,0050,0050.TW,元大台灣50,day_trading,day trade volume/value and ratios,TWSE/TPEX day-trading daily stock-level source with date and source URL,not_ingested,"Can omit ETF rows if exchange source lacks ETF-equivalent data, but must be explicit before overlay_ready.",yes,2026-06-08T06:10:16+00:00
institutional_flows_daily,00631L,00631L.TW,元大台灣50正2,institutional_flow,foreign/investment_trust/dealer daily net buy shares and TWD,TWSE/TPEX daily institutional trading by stock with date and source URL,not_ingested,No formal fallback; existing report foreign_5d/trust_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
margin_short_lending_daily,00631L,00631L.TW,元大台灣50正2,margin_short_lending,"margin, short, borrowed sell daily balances and changes",TWSE/TPEX margin/short/lending daily stock-level source with date and source URL,not_ingested,No formal fallback; existing margin_change_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
day_trading_daily,00631L,00631L.TW,元大台灣50正2,day_trading,day trade volume/value and ratios,TWSE/TPEX day-trading daily stock-level source with date and source URL,not_ingested,"Can omit ETF rows if exchange source lacks ETF-equivalent data, but must be explicit before overlay_ready.",yes,2026-06-08T06:10:16+00:00
institutional_flows_daily,2330,2330.TW,台積電,institutional_flow,foreign/investment_trust/dealer daily net buy shares and TWD,TWSE/TPEX daily institutional trading by stock with date and source URL,not_ingested,No formal fallback; existing report foreign_5d/trust_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
margin_short_lending_daily,2330,2330.TW,台積電,margin_short_lending,"margin, short, borrowed sell daily balances and changes",TWSE/TPEX margin/short/lending daily stock-level source with date and source URL,not_ingested,No formal fallback; existing margin_change_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
day_trading_daily,2330,2330.TW,台積電,day_trading,day trade volume/value and ratios,TWSE/TPEX day-trading daily stock-level source with date and source URL,not_ingested,"Can omit ETF rows if exchange source lacks ETF-equivalent data, but must be explicit before overlay_ready.",yes,2026-06-08T06:10:16+00:00
institutional_flows_daily,2454,2454.TW,聯發科,institutional_flow,foreign/investment_trust/dealer daily net buy shares and TWD,TWSE/TPEX daily institutional trading by stock with date and source URL,not_ingested,No formal fallback; existing report foreign_5d/trust_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
margin_short_lending_daily,2454,2454.TW,聯發科,margin_short_lending,"margin, short, borrowed sell daily balances and changes",TWSE/TPEX margin/short/lending daily stock-level source with date and source URL,not_ingested,No formal fallback; existing margin_change_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
day_trading_daily,2454,2454.TW,聯發科,day_trading,day trade volume/value and ratios,TWSE/TPEX day-trading daily stock-level source with date and source URL,not_ingested,"Can omit ETF rows if exchange source lacks ETF-equivalent data, but must be explicit before overlay_ready.",yes,2026-06-08T06:10:16+00:00
institutional_flows_daily,2308,2308.TW,台達電,institutional_flow,foreign/investment_trust/dealer daily net buy shares and TWD,TWSE/TPEX daily institutional trading by stock with date and source URL,not_ingested,No formal fallback; existing report foreign_5d/trust_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
margin_short_lending_daily,2308,2308.TW,台達電,margin_short_lending,"margin, short, borrowed sell daily balances and changes",TWSE/TPEX margin/short/lending daily stock-level source with date and source URL,not_ingested,No formal fallback; existing margin_change_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
day_trading_daily,2308,2308.TW,台達電,day_trading,day trade volume/value and ratios,TWSE/TPEX day-trading daily stock-level source with date and source URL,not_ingested,"Can omit ETF rows if exchange source lacks ETF-equivalent data, but must be explicit before overlay_ready.",yes,2026-06-08T06:10:16+00:00
institutional_flows_daily,2317,2317.TW,鴻海,institutional_flow,foreign/investment_trust/dealer daily net buy shares and TWD,TWSE/TPEX daily institutional trading by stock with date and source URL,not_ingested,No formal fallback; existing report foreign_5d/trust_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
margin_short_lending_daily,2317,2317.TW,鴻海,margin_short_lending,"margin, short, borrowed sell daily balances and changes",TWSE/TPEX margin/short/lending daily stock-level source with date and source URL,not_ingested,No formal fallback; existing margin_change_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
day_trading_daily,2317,2317.TW,鴻海,day_trading,day trade volume/value and ratios,TWSE/TPEX day-trading daily stock-level source with date and source URL,not_ingested,"Can omit ETF rows if exchange source lacks ETF-equivalent data, but must be explicit before overlay_ready.",yes,2026-06-08T06:10:16+00:00
institutional_flows_daily,2382,2382.TW,廣達,institutional_flow,foreign/investment_trust/dealer daily net buy shares and TWD,TWSE/TPEX daily institutional trading by stock with date and source URL,not_ingested,No formal fallback; existing report foreign_5d/trust_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
margin_short_lending_daily,2382,2382.TW,廣達,margin_short_lending,"margin, short, borrowed sell daily balances and changes",TWSE/TPEX margin/short/lending daily stock-level source with date and source URL,not_ingested,No formal fallback; existing margin_change_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
day_trading_daily,2382,2382.TW,廣達,day_trading,day trade volume/value and ratios,TWSE/TPEX day-trading daily stock-level source with date and source URL,not_ingested,"Can omit ETF rows if exchange source lacks ETF-equivalent data, but must be explicit before overlay_ready.",yes,2026-06-08T06:10:16+00:00
institutional_flows_daily,3231,3231.TW,緯創,institutional_flow,foreign/investment_trust/dealer daily net buy shares and TWD,TWSE/TPEX daily institutional trading by stock with date and source URL,not_ingested,No formal fallback; existing report foreign_5d/trust_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
margin_short_lending_daily,3231,3231.TW,緯創,margin_short_lending,"margin, short, borrowed sell daily balances and changes",TWSE/TPEX margin/short/lending daily stock-level source with date and source URL,not_ingested,No formal fallback; existing margin_change_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
day_trading_daily,3231,3231.TW,緯創,day_trading,day trade volume/value and ratios,TWSE/TPEX day-trading daily stock-level source with date and source URL,not_ingested,"Can omit ETF rows if exchange source lacks ETF-equivalent data, but must be explicit before overlay_ready.",yes,2026-06-08T06:10:16+00:00
institutional_flows_daily,6669,6669.TW,緯穎,institutional_flow,foreign/investment_trust/dealer daily net buy shares and TWD,TWSE/TPEX daily institutional trading by stock with date and source URL,not_ingested,No formal fallback; existing report foreign_5d/trust_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
margin_short_lending_daily,6669,6669.TW,緯穎,margin_short_lending,"margin, short, borrowed sell daily balances and changes",TWSE/TPEX margin/short/lending daily stock-level source with date and source URL,not_ingested,No formal fallback; existing margin_change_5d snapshots are derived and insufficient for raw overlay.,yes,2026-06-08T06:10:16+00:00
day_trading_daily,6669,6669.TW,緯穎,day_trading,day trade volume/value and ratios,TWSE/TPEX day-trading daily stock-level source with date and source URL,not_ingested,"Can omit ETF rows if exchange source lacks ETF-equivalent data, but must be explicit before overlay_ready.",yes,2026-06-08T06:10:16+00:00
sector_peer_flow_daily,,,9-stock pool,sector_peer_flow,theme peer turnover share changes and relative momentum,official turnover plus stable peer/theme mapping for the 9-stock pool,not_generated,Can be added after raw chip-flow sources are ingested; not enough for overlay_ready by itself.,yes,2026-06-08T06:10:16+00:00
chip_flow_overlay_features,,,9-stock pool,feature_scores,all chip-flow score fields,"raw institutional, margin/short/lending, day-trading, and sector peer flow tables",not_generated,feature_score_ready=false; BACKTEST_LAB may only use this package as a source gap audit.,yes,2026-06-08T06:10:16+00:00
